Country ID,Country Name,PA Category,# PAs,Mean area of PAs,Area of largest PA,Name of largest PA,Year of establ. Of largest PA
36,Brunei,Ia,21,27.43,185.79,Labi Hills (Sungai Ingei Conservation),1947
36,Brunei,II,4,339.97,555.38,Mulu,1974
36,Brunei,V,7,6.42,24.7,Selirong (Productive Production),1948
37,Bulgaria,ALL,1033,12.77,1202.55,"Ethniko Parko Oroseiras Rodopis, Perifereiaki Ektasi",2009
37,Bulgaria,Ia,58,15.14,124.22,Centralen Rilski Reservat,1992
37,Bulgaria,II,4,503.63,777.67,Rila,1992
37,Bulgaria,III,349,0.64,126.81,Fosilni nahodki,1968
37,Bulgaria,IV,41,12.35,203.84,Potamou Nestou,2005
37,Bulgaria,V,12,325.56,1164.77,Strandzha,1995
37,Bulgaria,VI,569,9.96,1202.55,"Ethniko Parko Oroseiras Rodopis, Perifereiaki Ektasi",2009
38,Burkina Faso,ALL,20,3763.15,28753.25,Réserve partielle de faune dite des Eléphants du Gourma,1959
38,Burkina Faso,II,6,2624.49,5819.18,W (Benin),1954
38,Burkina Faso,IV,11,5001.8,28753.25,Réserve partielle de faune dite des Eléphants du Gourma,1959
38,Burkina Faso,VI,3,1498.79,1834.89,Pendjari,1980
39,Burundi,ALL,12,185.61,1025.45,Nyungwe,1933
39,Burundi,Ib,5,16.75,44.97,Forêt de Vyanda,1980
39,Burundi,II,3,367.68,536.75,Parc national du Ruvubu,1980
39,Burundi,III,2,2.97,4.29,Faille de Nyakazu,1980
39,Burundi,IV,1,1025.45,1025.45,Nyungwe,1933
39,Burundi,V,1,9.18,9.18,Gisagara,1993
40,Cambodia,ALL,42,1151.51,4095.46,Kulen Promtep,1993
40,Cambodia,Ia,5,342.16,498.38,Huai Thabthan-Had Samran,1995
40,Cambodia,II,12,653.71,3399.22,Virachey,1993
40,Cambodia,III,1,129.86,129.86,Ang Trapeng Thmor,1999
40,Cambodia,IV,16,1805.36,4095.46,Kulen Promtep,1993
40,Cambodia,V,3,333.58,823.6,Banteay Chhmar,1993
40,Cambodia,VI,5,1758.32,3243.42,Tonle Sap Biosphere,1993
